2026-06-05T04:25:18.026144|api||question|come posso arrivare a gemona del friuli partendo d|2026.08|granite4:3b
2026-06-05T08:19:33.403156|g|None|login|web:modal||
2026-06-05T08:19:48.431575|g|session_1780640388428|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-05T08:19:51.358031|api||question|come posso arrivare a gemona del friuli partendo d|2916.63|granite4:3b
2026-06-05T08:19:58.419546|g|session_1780640388428|question|ciao, come stai?||
2026-06-05T08:27:02.853209|api||question|ciao, come stai?|424432.67|granite4:3b
2026-06-05T08:28:53.627236|g|session_1780640388428|question|come posso arrivare a cividale partendo da udine?||
2026-06-05T08:28:57.823528|api||question|come posso arrivare a cividale partendo da udine?|4196.29|granite4:3b
2026-06-05T08:29:15.436696|g|session_1780640388428|question|come posso arrivare a cividale partendo da udine autostazione?||
2026-06-05T08:29:19.445428|api||question|come posso arrivare a cividale partendo da udine a|4008.73|granite4:3b
2026-06-05T08:29:44.699900|g|session_1780640388428|question|come posso arrivare a cividale partendo da viale europa unita, autostazione?||
2026-06-05T08:29:49.670951|api||question|come posso arrivare a cividale partendo da viale e|4961.97|granite4:3b
2026-06-05T08:42:24.314941|g|None|login|web:modal||
2026-06-05T08:42:31.315038|g|session_1780640388428|question|come posso arrivare a cividale partendo da viale europa unita, autostazione?||
2026-06-05T08:42:37.705151|api||question|come posso arrivare a cividale partendo da viale e|6387.57|granite4:3b
2026-06-05T08:43:08.282382|g|session_1780640388428|question|come posso arrivare a pordenone partendo da udine?||
2026-06-05T08:43:10.863070|api||question|come posso arrivare a pordenone partendo da udine?|2580.69|granite4:3b
2026-06-05T08:48:42.980330|g|None|login|web:modal||
2026-06-05T08:48:46.334603|g|session_1780640388428|question|come posso arrivare a pordenone partendo da udine?||
2026-06-05T08:48:48.718835|api||question|come posso arrivare a pordenone partendo da udine?|2377.07|granite4:3b
2026-06-05T08:54:41.317204|g|None|login|web:modal||
2026-06-05T08:54:53.505845|g|session_1780642493502|question|dimmi di cosa parla la circolare numero 41||
2026-06-05T09:02:04.553737|api||question|dimmi di cosa parla la circolare numero 41|431041.83|granite4:3b
2026-06-05T09:04:12.256272|g|session_1780642493502|question|di cosa parla a circolare 42?||
2026-06-05T09:10:43.866531|api||question|di cosa parla a circolare 42?|391610.26|granite4:3b
2026-06-05T09:16:28.383699|g|None|login|web:modal||
2026-06-05T09:16:35.309483|g|session_1780642493502|question|di cosa parla a circolare 42?||
2026-06-05T09:23:25.308375|api||question|di cosa parla a circolare 42?|409998.62|granite4:3b
2026-06-05T09:33:11.452144|g|session_1780640388428|question|come a||
2026-06-05T09:39:13.797865|api||question|come a|362345.72|granite4:3b
2026-06-05T09:54:31.494265|d|None|login|web:modal||
2026-06-05T09:54:34.338475|d|session_1780646074335|question|ciao||
2026-06-05T10:00:16.607037|api||question|ciao|342262.33|granite4:3b
2026-06-05T10:00:50.538114|d|session_1780646074335|question|come posso arrivare a Udine da Feletto?||
2026-06-05T10:00:52.613738|api||question|come posso arrivare a Udine da Feletto?|2075.62|granite4:3b
2026-06-05T10:03:02.225507|d|session_1780646074335|question|come arrivi a Bearzi con la linea 10?||
